customer_id,month,consumption_kwh,is_theft
9,5,335.75,0
9,6,492.64,0
9,7,337.7,0
9,8,199.07,1
9,9,97.91,1
9,10,239.88,0
9,11,68.5,1
9,12,219.36,0
10,1,265.34,0
10,2,300.58,0
10,3,74.88,1
10,4,253.78,0
10,5,417.2,0
10,6,331.7,0
10,7,188.74,0
10,8,190.86,1
10,9,133.92,1
10,10,253.18,1
10,11,281.35,1
10,12,363.32,0
11,1,416.11,0
11,2,230.44,1
11,3,107.07,1
11,4,410.92,0
11,5,212.78,1
11,6,237.61,0
11,7,283.58,0
11,8,259.4,0
11,9,157.54,1
11,10,328.17,0
11,11,293.49,0
11,12,280.73,0
12,1,389.3,0
12,2,255.43,0
12,3,312.41,0
12,4,346.74,0
12,5,95.82,1
12,6,268.87,0
12,7,258.89,0
12,8,264.91,0
12,9,298.1,0
12,10,175.23,1
12,11,327.36,0
12,12,330.52,0
13,1,308.74,1
13,2,287.74,0
13,3,397.64,0
13,4,139.04,1
13,5,305.26,1
13,6,151.67,1
13,7,306.21,0
13,8,276.17,0
13,9,147.05,1
13,10,387.3,0
13,11,328.53,0
13,12,116.12,1
14,1,313.79,0
14,2,283.46,0
14,3,213.65,1
14,4,301.25,0
14,5,288.33,0
14,6,310.19,0
14,7,347.72,0
14,8,258.81,0
14,9,106.9,1
14,10,350.69,0
14,11,115.77,1
14,12,99.46,1
15,1,326.14,0
15,2,275.96,0
15,3,252.91,1
15,4,282.45,1
15,5,117.61,1
15,6,300.63,0
15,7,403.79,0
15,8,302.99,0
15,9,340.02,0
15,10,106.18,1
15,11,226.05,1
15,12,259.59,0
16,1,178.04,1
16,2,226.81,0
16,3,264.56,1
16,4,411.13,0
16,5,347.1,0
16,6,373.83,0
16,7,286.32,0
16,8,268.57,0
16,9,247.45,1
16,10,227.81,0
16,11,284.27,0
16,12,188.09,1
17,1,322.97,0
17,2,332.44,0
17,3,395.81,0
17,4,332.94,0
17,5,143.12,1
17,6,220.04,0
17,7,325.58,0
17,8,122.22,1
17,9,292.12,0
17,10,385.05,0
17,11,298.5,0
17,12,357.66,0
18,1,110.47,1
18,2,303.87,0
18,3,137.26,1
18,4,248.41,1
18,5,250.84,0
18,6,134.65,1
18,7,265.66,0
18,8,349.4,0
18,9,184.51,1
18,10,322.5,0
18,11,186.63,0
18,12,155.62,1
19,1,207.49,1
19,2,341.7,0
19,3,139.23,1
19,4,204.66,1
19,5,191.17,1
19,6,248.24,0
19,7,284.9,0
19,8,284.79,0
19,9,322.57,0
19,10,144.27,1
19,11,276.25,0
19,12,122.39,1
20,1,352.57,0
20,2,267.92,0
20,3,271.39,0
20,4,321.29,0
20,5,136.63,1
20,6,146.24,1
20,7,251.34,0
20,8,265.14,0
20,9,332.77,0
20,10,113.89,1
20,11,366.16,0
20,12,93.22,1
21,1,379.79,0
21,2,212.87,1
21,3,61.48,1
21,4,192.16,1
21,5,228.19,1
21,6,91.77,1
21,7,96.93,1
21,8,280.17,0
21,9,163.39,1
21,10,296.36,0
21,11,294.97,0
21,12,259.7,1
22,1,281.77,0
22,2,267.22,0
22,3,297.07,0
22,4,212.43,1
22,5,306.7,0
22,6,72.07,1
22,7,259.9,0
22,8,320.69,0
22,9,243.83,0
22,10,333.74,1
22,11,308.56,0
22,12,141.18,1
23,1,334.4,0
23,2,308.48,1
23,3,232.09,1
23,4,295.69,0
23,5,199.59,0
23,6,249.92,1
23,7,188.09,0
23,8,176.92,1
23,9,200.99,0
23,10,195.67,1
23,11,145.44,1
23,12,338.54,0
24,1,266.26,0
24,2,297.3,0
24,3,368.3,0
24,4,195.78,1
24,5,130.4,1
24,6,257.2,0
24,7,272.62,0
24,8,147.14,1
24,9,266.51,0
24,10,135.63,1
24,11,338.19,0
24,12,348.68,0
25,1,128.71,1
25,2,331.37,0
25,3,231.06,0
25,4,392.12,0
25,5,324.0,0
25,6,243.73,0
25,7,295.47,0
25,8,318.97,0
25,9,240.48,0
25,10,306.25,0
25,11,369.66,0
25,12,274.44,0
26,1,260.52,0
26,2,311.03,0
26,3,322.79,0
26,4,193.15,1
26,5,109.08,1
26,6,186.38,1
26,7,211.14,1
26,8,314.09,0
26,9,149.99,1
26,10,207.52,0
26,11,232.21,1
26,12,292.14,0
27,1,148.0,1
27,2,261.99,0
27,3,286.12,0
27,4,264.48,1
27,5,96.1,1
27,6,272.66,0
27,7,359.43,0
27,8,149.71,0
27,9,177.26,1
27,10,292.86,0
27,11,219.62,0
27,12,261.11,0
28,1,95.12,1
28,2,280.02,1
28,3,293.77,0
28,4,182.79,1
28,5,350.69,0
28,6,252.98,0
28,7,224.36,1
28,8,232.33,0
28,9,296.31,0
28,10,220.12,0
28,11,167.0,1
28,12,352.45,0
29,1,347.82,0
29,2,246.67,0
29,3,232.33,0
29,4,290.07,0
29,5,358.59,0
29,6,298.45,0
29,7,218.28,1
29,8,316.29,0
29,9,167.23,1
29,10,142.31,1
29,11,208.04,1
29,12,251.08,0
30,1,69.08,1
30,2,343.67,0
30,3,332.8,0
30,4,366.46,0
30,5,217.96,0
30,6,58.98,1
30,7,272.6,0
30,8,186.17,1
30,9,233.84,0
30,10,150.19,1
30,11,394.07,0
30,12,284.77,0
31,1,118.76,1
31,2,241.36,0
31,3,84.0,1
31,4,282.16,0
31,5,408.75,0
31,6,234.15,1
31,7,227.25,1
31,8,176.27,1
31,9,190.54,1
31,10,313.71,0
31,11,330.83,0
31,12,330.93,0
32,1,287.31,0
32,2,295.12,1
32,3,238.62,1
32,4,327.7,0
32,5,332.33,0
32,6,289.34,0
32,7,346.45,0
32,8,220.17,1
32,9,154.42,1
32,10,106.13,1
32,11,103.93,1
32,12,255.27,0
33,1,277.47,0
33,2,369.5,0
33,3,116.42,1
33,4,160.27,1
33,5,345.67,0
33,6,302.35,0
33,7,351.16,0
33,8,248.51,0
33,9,325.99,0
33,10,298.37,0
33,11,205.91,0
33,12,114.23,1
34,1,141.24,1
34,2,55.73,1
34,3,234.84,1
34,4,273.91,1
34,5,359.22,0
34,6,289.3,0
34,7,233.86,0
34,8,250.48,1
34,9,338.36,0
34,10,204.34,1
34,11,258.84,0
34,12,141.62,1
35,1,291.33,0
35,2,258.64,0
35,3,195.0,1
35,4,298.49,0
35,5,179.45,1
35,6,212.57,1
35,7,304.29,0
35,8,299.4,0
35,9,160.23,1
35,10,242.76,0
35,11,183.27,1
35,12,136.42,1
36,1,135.96,0
36,2,273.81,0
36,3,386.19,0
36,4,210.54,1
36,5,339.53,0
36,6,355.44,0
36,7,331.02,0
36,8,308.04,0
36,9,282.19,1
36,10,315.11,0
36,11,271.48,0
36,12,203.12,1
37,1,89.11,1
37,2,381.24,0
37,3,231.9,1
37,4,321.82,0
37,5,294.61,0
37,6,310.96,0
37,7,285.24,0
37,8,296.63,0
37,9,192.71,1
37,10,109.54,1
37,11,161.4,1
37,12,223.84,0
38,1,67.85,1
38,2,195.29,1
38,3,356.61,0
38,4,315.25,1
38,5,184.9,1
38,6,190.06,0
38,7,288.23,1
38,8,226.79,1
38,9,274.27,0
38,10,187.34,1
38,11,287.72,0
38,12,179.37,1
39,1,251.76,1
39,2,305.85,0
39,3,337.14,0
39,4,340.16,0
39,5,174.96,1
39,6,366.46,0
39,7,352.46,0
39,8,72.99,1
39,9,165.45,1
39,10,139.62,1
39,11,218.92,1
39,12,59.28,1
40,1,287.38,0
40,2,145.77,1
40,3,116.53,1
40,4,93.03,1
40,5,430.1,0
40,6,298.87,0
40,7,125.95,1
40,8,90.8,1
40,9,289.77,0
40,10,229.55,0
40,11,103.72,1
40,12,277.75,0
41,1,312.98,0
41,2,284.97,0
41,3,286.41,1
41,4,163.52,1
41,5,375.87,0
41,6,309.88,0
41,7,82.18,1
41,8,162.63,1
41,9,263.98,0
41,10,171.31,1
41,11,320.93,0
41,12,356.47,0
42,1,263.34,0
42,2,354.99,0
42,3,263.61,0
42,4,72.28,1
42,5,297.13,0
42,6,216.57,0
42,7,167.44,1
42,8,361.38,0
42,9,201.91,0
42,10,382.77,0
42,11,208.35,0
42,12,271.36,0
43,1,336.64,0
43,2,254.63,0
43,3,340.08,0
43,4,165.05,1
43,5,248.45,1
43,6,358.64,0
43,7,178.28,0
43,8,187.52,1
43,9,215.27,0
43,10,286.01,1
43,11,53.25,1
43,12,286.38,0
44,1,359.81,0
44,2,209.53,1
44,3,142.61,1
44,4,343.35,0
44,5,293.92,0
44,6,403.84,0
44,7,184.13,1
44,8,153.2,1
44,9,74.87,1
44,10,285.28,0
44,11,280.5,0
44,12,78.83,1
45,1,355.82,0
45,2,334.64,0
45,3,216.66,1
45,4,231.71,1
45,5,340.64,0
45,6,99.37,1
45,7,255.14,1
45,8,274.48,0
45,9,287.52,0
45,10,300.93,0
45,11,143.81,1
45,12,352.53,0
46,1,256.17,0
46,2,255.32,1
46,3,335.13,0
46,4,137.89,1
46,5,360.26,0
46,6,287.38,0
46,7,318.22,0
46,8,220.43,1
46,9,309.87,0
46,10,317.74,0
46,11,282.5,0
46,12,91.08,1
47,1,246.1,0
47,2,154.49,1
47,3,151.41,1
47,4,251.17,0
47,5,364.48,0
47,6,302.18,1
47,7,49.9,1
47,8,254.06,1
47,9,331.13,0
47,10,404.67,0
47,11,319.74,0
47,12,88.66,1
48,1,297.37,0
48,2,161.84,1
48,3,282.3,0
48,4,181.88,1
48,5,358.55,0
48,6,192.05,1
48,7,240.52,0
48,8,83.86,1
48,9,231.54,0
48,10,310.23,0
48,11,249.45,1
48,12,253.14,0
49,1,125.25,1
49,2,385.53,0
49,3,380.31,0
49,4,193.23,1
49,5,239.87,0
49,6,387.48,0
49,7,227.81,0
49,8,195.43,1
49,9,143.63,1
49,10,241.27,0
49,11,230.62,0
49,12,315.49,0
50,1,118.07,1
50,2,310.83,0
50,3,172.17,1
50,4,330.71,0
50,5,269.82,0
50,6,381.96,0
50,7,168.08,1
50,8,170.49,1
50,9,156.63,1
50,10,82.51,1
50,11,301.69,0
50,12,222.21,0
51,1,154.44,1
51,2,336.02,0
51,3,354.75,0
51,4,414.65,0
51,5,314.82,0
51,6,197.21,1
51,7,100.02,1
51,8,211.99,0
51,9,345.7,0
51,10,221.95,0
51,11,223.12,1
51,12,229.64,0
52,1,370.65,0
52,2,324.41,0
52,3,147.6,1
52,4,301.86,0
52,5,136.1,1
52,6,255.51,0
52,7,130.12,1
52,8,308.08,0
52,9,321.82,0
52,10,284.24,0
52,11,270.76,0
52,12,143.9,1
53,1,355.95,0
53,2,302.81,0
53,3,91.97,1
53,4,272.71,1
53,5,311.41,0
53,6,299.54,0
53,7,288.75,0
53,8,323.57,0
53,9,154.63,1
53,10,113.72,1
53,11,292.83,0
53,12,326.48,0
54,1,313.22,0
54,2,85.72,1
54,3,347.01,0
54,4,132.03,1
54,5,149.2,1
54,6,153.0,1
54,7,259.33,0
54,8,94.4,1
54,9,203.29,0
54,10,328.3,0
54,11,237.8,0
54,12,289.55,0
55,1,284.64,0
55,2,258.77,0
55,3,118.22,1
55,4,355.43,0
55,5,282.69,0
55,6,161.15,1
55,7,240.29,0
55,8,281.13,0
55,9,167.04,1
55,10,280.68,0
55,11,221.4,0
55,12,219.32,0
56,1,276.55,0
56,2,369.32,0
56,3,166.52,1
56,4,292.92,0
56,5,380.53,0
56,6,360.72,0
56,7,257.98,0
56,8,220.68,1
56,9,85.82,1
56,10,289.51,0
56,11,155.52,1
56,12,364.94,0
57,1,137.7,1
57,2,344.15,0
57,3,63.11,1
57,4,361.3,0
57,5,359.8,0
57,6,149.95,1
57,7,304.06,0
57,8,236.4,0
57,9,250.83,0
57,10,284.61,0
57,11,362.78,0
57,12,389.96,0
58,1,220.49,1
58,2,211.31,1
58,3,233.11,0
58,4,219.93,0
58,5,231.63,1
58,6,283.43,0
58,7,333.02,0
58,8,253.53,0
58,9,271.64,0
58,10,296.81,0
58,11,314.55,0
58,12,336.74,0
59,1,319.05,0
59,2,252.48,0
59,3,339.98,0
59,4,192.79,1
59,5,334.72,0
59,6,336.18,0
59,7,195.04,0
59,8,286.6,0
59,9,296.43,0
59,10,216.78,1
59,11,279.55,0
59,12,178.76,1
60,1,216.03,1
60,2,389.65,0
60,3,313.3,0
60,4,134.77,1
60,5,144.16,1
60,6,244.68,0
60,7,376.35,0
60,8,262.7,0
60,9,209.08,0
60,10,75.11,1
60,11,131.13,1
60,12,271.35,0
61,1,281.79,0
61,2,326.55,0
61,3,423.08,0
61,4,377.74,0
61,5,348.92,0
61,6,59.27,1
61,7,345.8,0
61,8,250.22,0
61,9,86.89,1
61,10,322.73,0
61,11,285.87,0
61,12,293.91,0
62,1,258.79,0
62,2,410.03,0
62,3,308.68,0
62,4,188.59,1
62,5,152.62,1
62,6,65.79,1
62,7,263.61,0
62,8,266.39,1
62,9,256.7,0
62,10,202.94,0
62,11,315.68,0
62,12,273.36,0
63,1,308.62,0
63,2,405.93,0
63,3,289.89,0
63,4,259.99,1
63,5,71.14,1
63,6,181.07,1
63,7,183.17,1
63,8,271.62,0
63,9,122.8,1
63,10,58.88,1
63,11,137.55,1
63,12,137.38,1
64,1,313.35,0
64,2,111.73,1
64,3,364.23,0
64,4,197.81,1
64,5,324.68,0
64,6,232.17,0
64,7,51.34,1
64,8,200.4,1
64,9,290.03,0
64,10,155.79,1
64,11,275.22,0
64,12,307.62,0
65,1,305.87,0
65,2,229.25,1
65,3,341.83,0
65,4,362.52,0
65,5,120.61,1
65,6,402.87,0
65,7,257.64,0
65,8,165.19,1
65,9,255.86,0
65,10,235.01,0
65,11,306.15,0
65,12,287.38,0
66,1,295.41,0
66,2,239.16,0
66,3,364.16,0
66,4,313.43,0
66,5,324.94,0
66,6,202.44,1
66,7,198.46,0
66,8,292.71,0
66,9,278.41,1
66,10,309.52,0
66,11,314.24,0
66,12,206.15,1
67,1,296.72,0
67,2,194.89,1
67,3,272.24,0
67,4,338.5,0
67,5,311.21,0
67,6,370.61,0
67,7,236.88,0
67,8,304.09,0
67,9,339.37,0
67,10,412.16,0
67,11,239.88,1
67,12,282.34,0
68,1,266.23,1
68,2,334.86,0
68,3,213.91,0
68,4,286.93,0
68,5,260.03,0
68,6,274.76,0
68,7,172.89,1
68,8,264.34,0
68,9,318.18,0
68,10,274.53,1
68,11,310.19,0
68,12,120.37,1
69,1,93.34,1
69,2,261.25,0
69,3,253.27,1
69,4,293.58,0
69,5,109.07,1
69,6,223.17,1
69,7,326.18,0
69,8,258.38,1
69,9,104.79,1
69,10,377.67,0
69,11,250.07,1
69,12,116.01,1
70,1,298.91,0
70,2,277.08,1
70,3,174.49,1
70,4,348.09,0
70,5,285.48,1
70,6,112.5,1
70,7,123.29,1
70,8,287.27,0
70,9,193.59,1
70,10,201.86,0
70,11,311.42,0
70,12,344.96,0
71,1,129.96,1
71,2,284.85,0
71,3,145.39,1
71,4,375.41,0
71,5,323.26,0
71,6,332.1,0
71,7,322.66,0
71,8,271.97,1
71,9,305.56,0
71,10,351.36,0
71,11,370.61,0
71,12,365.75,0
72,1,98.95,1
72,2,237.22,0
72,3,341.21,0
72,4,324.49,0
72,5,117.31,1
72,6,203.17,1
72,7,199.14,1
72,8,102.63,1
72,9,71.68,1
72,10,65.78,1
72,11,344.22,0
72,12,271.12,0
73,1,174.46,1
73,2,308.3,0
73,3,304.05,0
73,4,277.52,0
73,5,405.06,0
73,6,177.04,1
73,7,221.11,0
73,8,189.78,0
73,9,251.16,1
73,10,359.25,0
73,11,138.46,1
73,12,307.34,0
74,1,181.14,1
74,2,181.4,1
74,3,88.74,1
74,4,242.89,1
74,5,262.81,1
74,6,139.86,1
74,7,300.34,0
74,8,320.63,0
74,9,142.62,1
74,10,245.44,0
74,11,283.57,0
74,12,48.78,1
75,1,212.03,0
75,2,353.95,0
75,3,343.55,0
75,4,359.6,0
75,5,262.81,0
75,6,245.27,0
75,7,316.4,0
75,8,307.11,0
75,9,189.03,0
75,10,176.19,1
75,11,190.77,1
75,12,356.34,0
76,1,103.07,1
76,2,295.81,0
76,3,291.89,0
76,4,226.15,1
76,5,193.32,1
76,6,363.62,0
76,7,249.52,0
76,8,106.86,1
76,9,57.53,1
76,10,168.55,1
76,11,199.81,0
76,12,137.39,1
77,1,344.85,0
77,2,300.63,0
77,3,194.8,1
77,4,339.71,0
77,5,319.17,0
77,6,240.99,0
77,7,164.85,1
77,8,178.97,1
77,9,216.93,0
77,10,239.43,0
77,11,221.58,1
77,12,208.76,0
78,1,183.49,0
78,2,303.02,0
78,3,375.05,0
78,4,265.05,1
78,5,308.49,0
78,6,227.45,1
78,7,302.69,0
78,8,306.06,0
78,9,129.46,1
78,10,212.31,1
78,11,308.86,0
78,12,298.54,0
79,1,126.42,1
79,2,380.42,0
79,3,332.02,0
79,4,196.33,0
79,5,369.7,0
79,6,283.16,0
79,7,348.29,0
79,8,126.7,1
79,9,309.68,0
79,10,135.66,0
79,11,289.06,0
79,12,280.57,0
80,1,169.75,1
80,2,337.67,0
80,3,275.28,0
80,4,141.38,1
80,5,180.62,1
80,6,325.65,0
80,7,241.14,1
80,8,318.46,0
80,9,339.45,0
80,10,318.09,0
80,11,93.03,1
80,12,255.91,0
81,1,132.94,1
81,2,289.9,0
81,3,78.9,1
81,4,327.99,0
81,5,96.59,1
81,6,176.8,1
81,7,333.65,0
81,8,251.18,0
81,9,266.08,0
81,10,227.64,1
81,11,212.93,1
81,12,146.45,1
82,1,159.02,0
82,2,326.51,0
82,3,247.82,1
82,4,292.74,0
82,5,321.83,0
82,6,284.24,1
82,7,157.88,1
82,8,194.23,0
82,9,185.88,1
82,10,128.06,1
82,11,76.12,1
82,12,283.22,1
83,1,361.37,0
83,2,284.13,0
83,3,308.69,0
83,4,144.22,1
83,5,188.06,0
83,6,293.29,0
83,7,338.27,0
83,8,344.49,0
83,9,152.71,1
83,10,292.55,0
83,11,223.83,1
83,12,306.99,0
84,1,149.59,1
84,2,104.97,1
84,3,297.34,0
84,4,389.94,0
84,5,341.11,0
84,6,243.06,0
84,7,323.52,0
84,8,125.5,1
84,9,249.44,1
84,10,242.26,1
84,11,188.38,1
84,12,68.31,1
85,1,222.81,0
85,2,101.42,1
85,3,308.57,0
85,4,267.6,0
85,5,146.08,1
85,6,339.23,0
85,7,301.34,1
85,8,293.5,0
85,9,61.92,1
85,10,283.66,0
85,11,140.77,1
85,12,238.59,1
86,1,101.06,1
86,2,239.74,1
86,3,353.51,0
86,4,212.82,1
86,5,304.84,0
86,6,217.84,0
86,7,291.04,0
86,8,91.12,1
86,9,177.23,1
86,10,252.79,0
86,11,234.43,0
86,12,312.33,0
87,1,241.51,1
87,2,266.57,0
87,3,306.85,0
87,4,225.53,0
87,5,255.55,0
87,6,292.21,0
87,7,290.19,0
87,8,56.87,1
87,9,270.98,0
87,10,351.32,0
87,11,99.14,1
87,12,286.67,0
88,1,277.95,1
88,2,279.78,1
88,3,210.51,1
88,4,333.91,0
88,5,319.49,0
88,6,207.49,1
88,7,291.33,0
88,8,311.28,0
88,9,275.76,0
88,10,159.7,1
88,11,242.18,0
88,12,323.62,0
89,1,90.4,1
89,2,317.29,0
89,3,215.28,1
89,4,253.85,0
89,5,286.5,0
89,6,107.86,1
89,7,159.93,1
89,8,299.63,0
89,9,189.11,1
89,10,348.74,0
89,11,228.83,1
89,12,229.72,1
90,1,214.88,1
90,2,255.08,0
90,3,164.73,1
90,4,68.1,1
90,5,289.65,0
90,6,334.32,0
90,7,388.82,0
90,8,204.47,0
90,9,235.06,0
90,10,216.16,0
90,11,280.54,0
90,12,346.08,0
91,1,237.44,0
91,2,195.11,1
91,3,66.58,1
91,4,339.51,0
91,5,179.79,0
91,6,309.95,0
91,7,351.79,0
91,8,229.13,0
91,9,191.07,0
91,10,71.19,1
91,11,159.63,1
91,12,104.36,1
92,1,108.26,1
92,2,279.87,0
92,3,353.97,0
92,4,259.88,0
92,5,167.65,1
92,6,266.12,0
92,7,266.99,0
92,8,225.91,0
92,9,352.99,0
92,10,71.46,1
92,11,248.48,0
92,12,326.13,0
93,1,256.91,1
93,2,242.17,0
93,3,321.67,0
93,4,222.76,1
93,5,336.73,0
93,6,344.38,0
93,7,301.5,0
93,8,307.57,0
93,9,199.89,1
93,10,212.15,1
93,11,311.98,0
93,12,338.95,0
94,1,172.53,1
94,2,350.76,0
94,3,128.45,1
94,4,160.14,1
94,5,229.23,1
94,6,322.74,0
94,7,110.71,1
94,8,285.17,0
94,9,268.1,0
94,10,296.13,0
94,11,240.18,0
94,12,174.01,1
95,1,344.67,0
95,2,297.72,0
95,3,354.18,0
95,4,249.02,0
95,5,291.54,0
95,6,186.57,1
95,7,266.64,1
95,8,206.92,0
95,9,253.21,0
95,10,102.56,1
95,11,317.05,0
95,12,292.33,0
96,1,250.73,0
96,2,343.37,0
96,3,198.8,1
96,4,290.92,0
96,5,261.7,1
96,6,84.15,1
96,7,334.51,0
96,8,213.76,1
96,9,238.57,0
96,10,149.88,1
96,11,300.36,0
96,12,67.57,1
97,1,116.13,1
97,2,326.61,0
97,3,124.83,1
97,4,264.3,1
97,5,208.77,1
97,6,376.9,0
97,7,279.25,0
97,8,296.52,0
97,9,88.76,1
97,10,241.63,1
97,11,284.51,0
97,12,238.9,1
98,1,131.1,1
98,2,308.6,0
98,3,239.73,0
98,4,295.37,0
98,5,310.79,0
98,6,295.66,0
98,7,85.83,1
98,8,234.02,0
98,9,141.27,1
98,10,83.8,1
98,11,324.1,0
98,12,181.73,1
99,1,330.39,0
99,2,339.95,0
99,3,249.98,0
99,4,327.66,0
99,5,98.92,1
99,6,385.6,0
99,7,216.14,1
99,8,400.87,0
99,9,335.35,0
99,10,314.74,0
99,11,331.54,0
99,12,249.13,0
100,1,150.74,1
100,2,214.0,1
100,3,285.48,0
100,4,317.53,0
100,5,322.6,0
100,6,281.19,0
100,7,133.81,1
100,8,189.02,1
100,9,286.79,0
100,10,83.42,1
100,11,235.74,0
100,12,258.73,0
101,1,242.45,0
101,2,251.2,0
101,3,347.44,0
101,4,190.07,1
101,5,345.38,0
101,6,95.49,1
101,7,239.18,1
101,8,431.94,0
101,9,288.74,0
101,10,290.91,0
101,11,234.85,0
101,12,236.2,1
102,1,144.77,1
102,2,302.57,0
102,3,172.32,1
102,4,101.03,1
102,5,158.89,1
102,6,219.0,1
102,7,69.53,1
102,8,180.36,1
102,9,285.63,0
102,10,304.93,0
102,11,357.09,0
102,12,183.47,0
103,1,310.02,0
103,2,252.46,0
103,3,132.62,1
103,4,128.98,1
103,5,211.33,1
103,6,259.7,0
103,7,291.91,0
103,8,92.05,1
103,9,277.71,0
103,10,244.43,0
103,11,98.08,1
103,12,341.91,0
104,1,328.61,0
104,2,336.78,0
104,3,374.82,0
104,4,228.61,1
104,5,96.64,1
104,6,351.17,0
104,7,133.34,1
104,8,196.94,1
104,9,195.07,1
104,10,293.24,0
104,11,148.84,1
104,12,82.56,1
105,1,398.08,0
105,2,303.18,0
105,3,136.62,1
105,4,422.83,0
105,5,273.29,0
105,6,304.1,0
105,7,325.23,0
105,8,322.13,0
105,9,300.49,0
105,10,239.63,0
105,11,267.85,0
105,12,276.03,0
106,1,319.86,0
106,2,332.89,0
106,3,329.53,0
106,4,242.63,1
106,5,158.93,1
106,6,199.41,1
106,7,332.53,0
106,8,144.83,1
106,9,234.61,0
106,10,358.64,0
106,11,257.11,0
106,12,284.01,1
107,1,135.41,1
107,2,372.57,0
107,3,251.09,1
107,4,248.96,0
107,5,183.51,1
107,6,337.98,0
107,7,66.57,1
107,8,85.59,1
107,9,119.01,1
107,10,166.47,1
107,11,273.53,0
107,12,336.59,0
108,1,229.33,1
108,2,76.11,1
108,3,357.84,0
108,4,347.94,0
108,5,79.86,1
108,6,287.8,0
108,7,199.4,0
108,8,158.94,1
108,9,311.1,0
108,10,157.5,1
108,11,343.57,0
108,12,401.0,0
109,1,391.7,0
109,2,405.06,0
109,3,236.94,1
109,4,292.71,0
109,5,278.62,1
109,6,195.0,0
109,7,345.92,0
109,8,310.15,0
109,9,276.69,0
109,10,250.02,0
109,11,214.63,1
109,12,291.98,0
110,1,200.0,1
110,2,384.39,0
110,3,259.7,0
110,4,336.0,0
110,5,181.21,1
110,6,323.68,0
110,7,367.71,0
110,8,325.38,0
110,9,282.18,0
110,10,310.59,0
110,11,248.44,1
110,12,242.45,0
111,1,46.73,1
111,2,372.97,0
111,3,329.75,0
111,4,279.41,0
111,5,253.47,0
111,6,331.14,0
111,7,251.05,1
111,8,242.46,0
111,9,294.43,0
111,10,286.42,0
111,11,138.36,1
111,12,275.77,0
112,1,78.89,1
112,2,185.97,1
112,3,162.95,1
112,4,303.08,0
112,5,224.89,0
112,6,167.44,1
112,7,165.86,1
112,8,265.08,0
112,9,209.51,1
112,10,158.31,1
112,11,194.1,0
112,12,292.49,0
113,1,321.82,0
113,2,189.78,1
113,3,106.51,1
113,4,180.03,1
113,5,304.16,0
113,6,268.22,0
113,7,381.63,0
113,8,323.39,0
113,9,299.69,0
113,10,186.3,0
113,11,185.31,1
113,12,342.26,0
114,1,143.76,0
114,2,195.33,1
114,3,234.81,0
114,4,271.1,0
114,5,297.83,0
114,6,199.14,1
114,7,272.44,0
114,8,289.1,1
114,9,247.62,1
114,10,134.02,1
114,11,259.61,0
114,12,225.12,1
115,1,197.77,1
115,2,339.57,0
115,3,284.1,0
115,4,305.79,0
115,5,283.44,0
115,6,186.86,1
115,7,136.05,1
115,8,309.63,0
115,9,306.74,0
115,10,227.27,1
115,11,254.27,0
115,12,286.91,0
116,1,277.19,0
116,2,280.68,0
116,3,267.92,1
116,4,307.03,0
116,5,283.69,0
116,6,188.65,1
116,7,260.03,0
116,8,227.18,0
116,9,281.06,0
116,10,68.83,1
116,11,185.79,0
116,12,196.49,1
117,1,96.98,1
117,2,115.61,1
117,3,217.97,1
117,4,221.21,1
